"TIME","GEO","AGE","SEX","UNIT","Value","Flag and Footnotes"
"2014","Portugal","42 years","Males","Number","77,267",""
"2014","Portugal","42 years","Females","Number","82,774",""
"2014","Portugal","43 years","Males","Number","75,285",""
"2014","Portugal","43 years","Females","Number","80,019",""
"2014","Portugal","44 years","Males","Number","73,609",""
"2014","Portugal","44 years","Females","Number","78,324",""
"2014","Portugal","45 years","Males","Number","73,293",""
"2014","Portugal","45 years","Females","Number","77,939",""
"2014","Portugal","46 years","Males","Number","72,728",""
"2014","Portugal","46 years","Females","Number","78,800",""
"2014","Portugal","47 years","Males","Number","73,598",""
"2014","Portugal","47 years","Females","Number","79,760",""
"2014","Portugal","48 years","Males","Number","74,266",""
"2014","Portugal","48 years","Females","Number","80,276",""
"2014","Portugal","49 years","Males","Number","74,643",""
"2014","Portugal","49 years","Females","Number","81,361",""
"2014","Portugal","50 years","Males","Number","72,821",""
"2014","Portugal","50 years","Females","Number","79,454",""
"2014","Portugal","51 years","Males","Number","72,611",""
"2014","Portugal","51 years","Females","Number","79,219",""
"2014","Portugal","52 years","Males","Number","72,241",""
"2014","Portugal","52 years","Females","Number","78,853",""
"2014","Portugal","53 years","Males","Number","72,211",""
"2014","Portugal","53 years","Females","Number","77,701",""
"2014","Portugal","54 years","Males","Number","68,423",""
"2014","Portugal","54 years","Females","Number","74,600",""
"2014","Portugal","55 years","Males","Number","67,810",""
"2014","Portugal","55 years","Females","Number","74,688",""
"2014","Portugal","56 years","Males","Number","66,989",""
"2014","Portugal","56 years","Females","Number","73,560",""
"2014","Portugal","57 years","Males","Number","64,761",""
"2014","Portugal","57 years","Females","Number","71,400",""
"2014","Portugal","58 years","Males","Number","64,636",""
"2014","Portugal","58 years","Females","Number","72,497",""
"2014","Portugal","59 years","Males","Number","62,788",""
"2014","Portugal","59 years","Females","Number","69,900",""
"2014","Portugal","60 years","Males","Number","60,625",""
"2014","Portugal","60 years","Females","Number","68,543",""
"2014","Portugal","61 years","Males","Number","61,189",""
"2014","Portugal","61 years","Females","Number","70,159",""
"2014","Portugal","62 years","Males","Number","61,736",""
"2014","Portugal","62 years","Females","Number","68,933",""
"2014","Portugal","63 years","Males","Number","60,289",""
"2014","Portugal","63 years","Females","Number","67,760",""
"2014","Portugal","64 years","Males","Number","58,674",""
"2014","Portugal","64 years","Females","Number","65,964",""
"2014","Portugal","65 years","Males","Number","58,369",""
"2014","Portugal","65 years","Females","Number","68,317",""
"2014","Portugal","66 years","Males","Number","51,697",""
"2014","Portugal","66 years","Females","Number","61,589",""
"2014","Portugal","67 years","Males","Number","50,938",""
"2014","Portugal","67 years","Females","Number","61,647",""
"2014","Portugal","68 years","Males","Number","51,620",""
"2014","Portugal","68 years","Females","Number","63,855",""
"2014","Portugal","69 years","Males","Number","48,093",""
"2014","Portugal","69 years","Females","Number","59,800",""
"2014","Portugal","70 years","Males","Number","45,882",""
"2014","Portugal","70 years","Females","Number","56,921",""
"2014","Portugal","71 years","Males","Number","42,214",""
"2014","Portugal","71 years","Females","Number","53,328",""
"2014","Portugal","72 years","Males","Number","41,143",""
