sample_id	cheese_full_type	animal_origin	milk_treatment	cheese_classification	country	region	colection_year	clinical_source	clinical_freq
SRR5667286.fa	 cotija cheese	cow			Mexico		2010		
SRR5676318.fa	 cheese				USA	California	2012		
SRR5817980.fa	 white cheese				USA	Florida	2002		
SRR5947665.fa	 cheese				USA	Washington	2010		
SRR5985519.fa	 cheese				USA	Washington	2010		
SRR5985678.fa	 cheese				USA	Washington	2010		
SRR5990406.fa	 cheese				USA	Washington	2010		
SRR6207491.fa	 cheese				USA	Washington	2010		
SRR6224689.fa	 pasteurized milk queso fresco cheese wheels (16 oz) in vac-packed plastic		pasteurized	soft	USA	Washington	2010		
SRR6236574.fa	 raw milk cheese-monterey jack	cow	raw	semi-hard	USA	New York	2017		
SRR6288265.fa	 soft white mexican cheese			soft	USA	Texas	2003		
SRR6288283.fa	 home-made cheese				Mexico		2003		
SRR6321747.fa	 ricotta piatta cheese			semi-soft or soft	Italy		2003		
SRR6321790.fa	 raw milk cheese		raw		USA	New York	2017		
SRR6325477.fa	 raw milk cheese		raw		USA	New York	2017		
SRR6344350.fa	 swiss cheese				USA	Florida	2000		
SRR6366187.fa	 goat cheese	goat			USA	California	2003		
SRR6436646.fa	 le vigneron marc cheese				France		2010		
SRR6443386.fa	 mexican soft cheese			soft	USA		2003		
SRR6446755.fa	 mexican soft cheese			soft	USA		2003		
SRR6475359.fa	 asadero cheese	cow		semi-soft	Mexico		2001		
SRR6475362.fa	 asadero cheese	cow		semi-soft	Mexico		2001		
SRR6745671.fa	spanish cheese				USA	New York	2012		
SRR6860656.fa	 raw milk cheese aged 60 days		raw		USA	New York	2018		
SRR6881693.fa	 soft cheese			soft	Italy		2007		
SRR8172414.fa	 cheese				USA	Michigan	2018		
SRR8187275.fa	 cheese				USA	Michigan	2018		
SRR8187276.fa	 cheese				USA	Michigan	2018		
SRR8210492.fa	 talleggio cheese	cow		semi-soft	Italy		2005		
SRR8211561.fa	 brie cheese	cow		soft	France		2004		
SRR8212882.fa	 cheese				Italy		2003		
SRR8215997.fa	 semi-soft cheese			semi-soft	Spain		2002		
SRR8216051.fa	 cow/sheep milk cheese	cow and sheep			Portugal		2004		
SRR8216056.fa	 cow/sheep milk cheese	cow and sheep			Portugal		2004		
SRR8216059.fa	 gorgonzola cheese	cow		soft	Italy		2005		
SRR8216314.fa	 queso fresco			soft	USA	New York	2004		
SRR8216391.fa	 talleggio cheese	cow		semi-soft	Italy		2005		
SRR8216395.fa	 fermier goat cheese	goat			Israel		2002		
SRR8216405.fa	 bucheron goat cheese	goat		soft	Israel		2002		
SRR8235317.fa	 fermier goat cheese	goat			Israel		2002		
SRR8235320.fa	 pasteurized cows' milk cheese	cow	pasteurized		USA	New York	2018		
SRR8235343.fa	 camembert goat cheese	goat		soft	Israel		2002		
SRR8235369.fa	 mozarella cheese			semi-soft	USA	Louisiana	2002		
SRR8235627.fa	 bucheron goat cheese	goat		soft	Israel		2002		
SRR8535384.fa	 quesillo oaxaca string cheese	cow	pasteurized	semi-hard	Mexico		2010		
SRR8535474.fa	 quesillo oaxaca string cheese	cow	pasteurized	semi-hard	Mexico		2010		
SRR8767216.fa	 cheese				Chile		2016		
SRR8767231.fa	 cheese				Chile		2016		
SRR8767292.fa	 cheese				Chile		2017		
SRR8767294.fa	 cheese				Chile		2017		
SRR8767295.fa	 cheese				Chile		2017		
SRR8767298.fa	 cheese				Chile		2017		
SRR8767299.fa	 cheese				Chile		2017		
SRR8767309.fa	 cheese				Chile		2017		
SRR8767310.fa	 cheese				Chile		2016		
SRR8767312.fa	 cheese				Chile		2017		
SRR8767314.fa	 cheese				Chile		2016		
SRR8767316.fa	 cheese				Chile		2016		
SRR8767327.fa	 cheese				Chile		2016		
SRR8767330.fa	 cheese				Chile		2016		
SRR8767333.fa	 cheese				Chile		2016		
SRR8767338.fa	 cheese				Chile		2017		
SRR8767396.fa	 cheese				Chile		2016		
SRR8767575.fa	 cheese				Chile		2016		
SRR8767730.fa	 cheese				Chile		2016		
SRR8767761.fa	 cheese				Chile		2016		
SRR8767770.fa	 cheese				Chile		2016		
SRR8767781.fa	 cheese				Chile		2016		
SRR8767782.fa	 cheese				Chile		2016		
SRR8767785.fa	 cheese				Chile		2016		
